FEN,white_knight_reachable_outpost,black_bishop_minor_behind_pawn,white_rook_trapped,black_queen_present,white_king_pawnless_flank,black_passed_pawns,white_knight_outpost,black_bishop_outpost,white_rook_on_file,black_queen_weak,Move,Layer Outputs Index,Layer Outputs File
2r1k2r/3nb3/1p1p4/pP2p2p/P1P2p2/2NP1q2/2Q2P1P/1RB1R1K1 w k - 2 27,1,0,0,1,0,0,0,0,1,0,g1f1,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish/stockfish_boolean_concepts_primary_layer_outputs_26.npy
4r1k1/3b1ppp/p2p4/2rP4/1pB2NP1/8/qN3QPP/2R3K1 w - - 0 27,1,1,0,1,0,1,0,0,1,0,f4d3,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish/stockfish_boolean_concepts_primary_layer_outputs_27.npy
r1b1k2r/ppp1qp2/2np1n2/3N2B1/2BbP3/8/PP3PPP/R2Q1RK1 b kq - 3 13,1,0,0,1,0,0,0,1,0,1,f6d5,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish/stockfish_boolean_concepts_primary_layer_outputs_28.npy
r2qkb1r/1bpp1p2/2n1p3/p3P2p/1p1PN1p1/3BB3/PPP2PPP/R2Q1RK1 b kq - 1 15,1,0,0,1,0,0,0,0,0,0,f8e7,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish/stockfish_boolean_concepts_primary_layer_outputs_29.npy
5r2/pp5k/3n1qp1/3p1p1p/3P1N2/P1P3Q1/1P6/1K4R1 b - - 1 36,1,0,0,1,0,1,0,0,1,0,d6e4,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish/stockfish_boolean_concepts_primary_layer_outputs_30.npy
rn6/pk1nbqpp/2p1p3/5bB1/3P4/2N2Q1P/PPP2PP1/R4RK1 w - - 2 21,1,0,0,1,0,0,0,0,0,0,g5e7,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish/stockfish_boolean_concepts_primary_layer_outputs_31.npy
rn1q2k1/1b3rpp/p2bp3/1p6/4p3/1NP1P1BP/PP3PP1/R2QK2R w KQ - 0 15,1,0,1,1,0,0,0,0,0,0,d1d6,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish/stockfish_boolean_concepts_primary_layer_outputs_32.npy
4N1k1/5p2/6pp/1p1b4/1P1q4/1B4QP/P2n1PP1/6K1 w - - 1 32,1,0,0,1,0,0,0,1,0,0,g3b8,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish/stockfish_boolean_concepts_primary_layer_outputs_33.npy
r4rk1/8/1p1q2np/p1nPp3/P3Ppp1/1PB2N2/2Q2PPP/R3R1K1 w - - 0 22,1,0,0,1,0,0,0,0,0,0,f3d2,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish/stockfish_boolean_concepts_primary_layer_outputs_34.npy
n2q4/4b1rp/p2p2p1/4pkP1/3N1p2/1Q2R2P/PP3K2/R7 b - - 2 28,1,0,0,1,0,1,0,0,0,0,f5g5,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish/stockfish_boolean_concepts_primary_layer_outputs_35.npy
6rk/p4prp/2pb1p2/2qp4/7P/2N2QP1/PPP1RP2/R5K1 w - - 1 21,1,1,0,1,0,0,0,0,0,0,g1h1,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish/stockfish_boolean_concepts_primary_layer_outputs_36.npy
3n3r/qp3kpp/4p3/2Np1n2/1p1b4/5B1P/1BP1QPP1/4R1K1 w - - 0 20,1,0,0,1,0,0,0,0,1,0,c5e6,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish/stockfish_boolean_concepts_primary_layer_outputs_37.npy
4r1k1/1b1n1ppp/p2P4/1p1n4/8/PN2RP2/1P2BKPP/2R5 b - - 0 22,1,0,0,0,0,0,0,0,1,0,d5e3,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish/stockfish_boolean_concepts_primary_layer_outputs_38.npy
r4r1k/1p2b2p/1Bn4n/p1P5/2N1p1N1/1PP2p2/1P2KP1P/6RR w - - 0 23,1,0,0,0,0,0,0,0,0,0,e2d2,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish/stockfish_boolean_concepts_primary_layer_outputs_39.npy
r4rk1/p3Np2/1p1RpB1p/3b4/1Pq5/6Q1/P4P1P/6K1 b - - 1 26,1,0,0,1,0,0,0,1,1,0,g8h7,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish/stockfish_boolean_concepts_primary_layer_outputs_40.npy
4r1k1/6pp/pp1Rb3/2p5/3n1P2/P5N1/5P1P/5R1K w - - 3 32,1,0,0,0,0,1,0,0,0,0,h1g2,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish/stockfish_boolean_concepts_primary_layer_outputs_41.npy
8/8/6k1/5pp1/4K2p/7N/8/8 w - - 0 52,1,0,0,0,0,1,0,0,0,0,e4e3,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish/stockfish_boolean_concepts_primary_layer_outputs_42.npy
8/nNp5/P1bk1p1p/5p2/6r1/1B6/2P2K2/4R3 b - - 10 44,1,0,0,0,0,1,0,0,1,0,c6b7,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish/stockfish_boolean_concepts_primary_layer_outputs_43.npy
4r3/2P1Nnkp/5pp1/5P2/r3p1P1/1b5P/3PK3/2B1R3 b - - 2 32,1,0,0,0,0,0,0,1,1,0,f7d6,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish/stockfish_boolean_concepts_primary_layer_outputs_44.npy
3rrk2/p2bn2p/1pp2pp1/5P1N/3qB1Q1/PP5P/2P3P1/3R1R1K b - - 2 24,1,0,0,1,0,0,0,0,0,0,g6h5,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish/stockfish_boolean_concepts_primary_layer_outputs_45.npy
r4rk1/1pq1n1pp/p4p2/1bPpn3/1P6/2P2NP1/P1NQBP1P/R4RK1 w - - 2 16,1,1,0,1,0,0,0,0,0,0,f1e1,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish/stockfish_boolean_concepts_primary_layer_outputs_46.npy
r1bq2k1/1p3ppp/8/p1pB4/2Pb1Bn1/P1N3P1/1P2Q2P/4R2K b - - 3 19,1,0,0,1,0,0,0,1,1,0,g4f2,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish/stockfish_boolean_concepts_primary_layer_outputs_47.npy
7r/ppRn1pk1/4p1b1/3pP1Q1/1n1q2N1/1P6/P3BPP1/6K1 b - - 1 24,1,0,0,1,0,1,0,0,1,0,h8h5,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish/stockfish_boolean_concepts_primary_layer_outputs_48.npy
3r1rk1/pp3ppp/4b3/8/1n4n1/2N1PNP1/5P1P/R1B1KB1R w KQ - 0 14,1,0,1,0,0,1,0,0,0,0,a1a4,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish/stockfish_boolean_concepts_primary_layer_outputs_49.npy
4r1k1/1p3pp1/p5np/5N2/4nqP1/2P4P/PPQ2P2/1R3R1K w - - 2 32,1,0,0,1,0,0,0,0,0,1,c2e2,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish/stockfish_boolean_concepts_primary_layer_outputs_50.npy
2kr1br1/pppq1p1R/2np4/3N2p1/4Pp2/1P3P2/PBPKQ3/6R1 b - - 1 21,1,1,0,1,0,0,0,0,1,1,g8g6,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish/stockfish_boolean_concepts_primary_layer_outputs_51.npy
6k1/Q4p1p/4pb1p/3p4/P2P4/5N1P/1r3PPK/2r5 b - - 0 23,1,0,0,0,0,0,0,0,0,0,g8g7,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish/stockfish_boolean_concepts_primary_layer_outputs_52.npy
1r5k/p1n3p1/4p2p/7P/2PP3r/4Q1Nq/2P2R2/3R2K1 b - - 12 36,1,0,0,1,0,1,0,0,0,0,h4g4,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish/stockfish_boolean_concepts_primary_layer_outputs_53.npy
5rk1/3R1Npp/3Bp3/n7/3P4/b1r5/P4PPP/5RK1 b - - 2 22,1,0,0,0,0,0,0,1,0,0,a3d6,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish/stockfish_boolean_concepts_primary_layer_outputs_54.npy
1r3rk1/2p2pp1/1nQbpn1p/pN2N2b/P3PB2/1B6/1q3PPP/R3R1K1 w - - 0 19,1,0,0,1,0,1,0,0,0,0,a1b1,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish/stockfish_boolean_concepts_primary_layer_outputs_55.npy
8/3kppbp/p2p2p1/1p2r3/5P2/PNP3PP/1P1R1K2/8 b - - 0 34,1,1,0,0,0,0,0,0,1,0,e5f5,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish/stockfish_boolean_concepts_primary_layer_outputs_56.npy
2r2rk1/1pp1R1pp/p4qp1/2QP4/8/2N3Pb/PP3P1P/4R1K1 w - - 1 25,1,0,0,1,0,0,0,1,1,0,f2f4,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish/stockfish_boolean_concepts_primary_layer_outputs_57.npy
r2q1Bk1/pp2Np2/8/n1p1p1b1/8/5P2/PPPQ1P2/2K4R b - - 4 23,1,0,0,1,0,0,0,0,1,0,d8e7,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish/stockfish_boolean_concepts_primary_layer_outputs_58.npy
r1b1Q3/1p2b3/pk4R1/5p2/3n1qP1/PPN5/1n5P/4R1K1 b - - 5 32,1,0,0,1,0,0,0,0,1,0,b6a7,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish/stockfish_boolean_concepts_primary_layer_outputs_59.npy
1rb2rk1/p6p/n1p2P2/qp2pP2/2PpN2P/b2P1N1B/1P2QP2/1K1R3R w - - 0 19,1,0,0,1,0,0,0,0,0,0,f3e5,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish/stockfish_boolean_concepts_primary_layer_outputs_60.npy
r2qr1k1/p3bp1p/1pp2p2/3p3b/3QP3/1B3P2/PPP1N1PP/3RR1K1 w - - 0 17,1,0,0,1,0,0,0,0,0,0,g1h1,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish/stockfish_boolean_concepts_primary_layer_outputs_61.npy
8/2RR1pk1/6p1/6r1/5r1p/4N3/5P2/5K2 w - - 0 36,1,0,0,0,0,1,0,0,1,0,e3g2,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish/stockfish_boolean_concepts_primary_layer_outputs_62.npy
3r4/1p6/p4p1p/2P2p2/1P3P2/P4P2/2kp2N1/3R1K2 w - - 2 49,1,0,0,0,0,1,0,0,1,0,g2e3,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish/stockfish_boolean_concepts_primary_layer_outputs_63.npy
3r2k1/ppq2pp1/5n1p/6rn/1PN5/P2B1P2/2Q1N2P/3RR1K1 w - - 1 27,1,0,0,1,0,0,0,0,1,0,g1h1,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish/stockfish_boolean_concepts_primary_layer_outputs_64.npy
r2q1rk1/1b2bppp/pn2pn2/1p4N1/3PN3/1P6/PBQ1BPPP/R4RK1 b - - 2 14,1,1,0,1,0,0,0,0,0,0,f6e4,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish/stockfish_boolean_concepts_primary_layer_outputs_65.npy
4r3/Q1pk4/2p1rppb/3p4/1N1P3p/2P3PP/PP3n2/R5K1 w - - 0 25,1,0,0,0,0,0,0,0,0,0,b4a6,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish/stockfish_boolean_concepts_primary_layer_outputs_66.npy
5rk1/q1bQ1p1p/1p2p1p1/n2p4/NP6/P7/2P2PPP/4RRK1 w - - 7 26,1,0,0,1,0,0,0,0,0,0,a4b6,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish/stockfish_boolean_concepts_primary_layer_outputs_67.npy
r2q1rk1/pp3p1p/3p1bp1/2p4P/4P3/2N2n2/PPPQBP2/2KR3R w - - 0 15,1,0,0,1,0,0,0,0,0,0,d2d3,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish/stockfish_boolean_concepts_primary_layer_outputs_68.npy
8/5kpp/1B2pp2/p2r4/1n2N3/7P/2r2PPK/R7 b - - 3 40,1,0,0,0,0,1,0,0,1,0,b4c6,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish/stockfish_boolean_concepts_primary_layer_outputs_69.npy
4kb1r/pp2rp1p/5np1/4N3/4PP2/2N5/PP4PP/R3K2R w KQk - 0 17,1,1,1,0,0,0,0,0,0,0,a1c1,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish/stockfish_boolean_concepts_primary_layer_outputs_70.npy
8/p4ppk/P1b4p/7q/4N3/3Q1P2/4K1P1/8 b - - 7 39,1,0,0,1,0,0,0,0,0,0,h5e5,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish/stockfish_boolean_concepts_primary_layer_outputs_71.npy
r1b1qb1r/pp1k1Np1/4pB1n/3p3Q/3P3P/2P5/PP3PP1/R3KB1R b KQ - 0 15,1,0,0,1,0,0,0,0,0,0,e8f7,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish/stockfish_boolean_concepts_primary_layer_outputs_72.npy
4r1q1/3Qp2k/1p4rp/p2R4/2pN1p2/2Pb1P2/PP4PP/4R1K1 w - - 5 33,1,0,0,1,0,0,0,1,1,0,g2g4,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish/stockfish_boolean_concepts_primary_layer_outputs_73.npy
r1bq2k1/pp2b1p1/1npP3p/3n4/5B2/2NP3P/PPP3P1/R2Q1R1K b - - 0 15,1,0,0,1,0,0,0,0,1,0,e7d6,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish/stockfish_boolean_concepts_primary_layer_outputs_74.npy
3Q4/p4pp1/2p1pkp1/3p4/1Knq3P/2N5/2P5/8 b - - 5 39,1,0,0,1,0,1,0,0,0,0,f6e5,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish/stockfish_boolean_concepts_primary_layer_outputs_75.npy
3q1rk1/4bppp/p4n2/1p1bB3/1P6/P3P1P1/4NPBP/2rQ1RK1 w - - 0 17,1,0,0,1,0,0,0,0,0,0,e2c1,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish/stockfish_boolean_concepts_primary_layer_outputs_76.npy
3N2k1/pp3rp1/2p3qp/2P5/1P6/PQ3nP1/5K2/4R3 b - - 8 31,1,0,0,1,0,0,0,0,1,0,f3e1,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish/stockfish_boolean_concepts_primary_layer_outputs_77.npy
3rr1k1/pp4pp/5b2/1Pq1p3/2P2p2/2pP1N1P/P1Q2PP1/3R1RK1 w - - 2 26,1,0,0,1,0,1,0,0,0,0,c2e2,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish/stockfish_boolean_concepts_primary_layer_outputs_78.npy
r1b2rk1/ppp2p1p/2np1qp1/4n3/P3N3/1BP5/2Q2PPP/R1B1R1K1 b - - 1 15,1,1,0,1,0,0,0,0,1,0,f6g7,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish/stockfish_boolean_concepts_primary_layer_outputs_79.npy
1k4r1/p7/1pn3r1/4P3/3P1Q2/2PR2Pq/P6N/R5K1 w - - 1 34,1,0,0,1,0,0,0,0,0,1,h2f1,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish/stockfish_boolean_concepts_primary_layer_outputs_80.npy
r2qr1k1/5pbp/p5p1/1ppnn3/4PN2/1P2PbP1/PBPQ1PBP/1R3RK1 w - - 0 19,1,0,0,1,0,0,0,1,0,0,f4d5,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish/stockfish_boolean_concepts_primary_layer_outputs_81.npy
5k2/p1p2p2/2p5/4N2p/5r1b/P7/1PP1RP2/5K2 b - - 8 29,1,0,0,0,0,1,0,1,1,0,h4f6,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish/stockfish_boolean_concepts_primary_layer_outputs_82.npy
6k1/3N1p1p/1p1n2p1/p2r4/5P2/2P3P1/2K4P/R7 b - - 3 32,1,0,0,0,0,1,0,0,1,0,d6e4,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish/stockfish_boolean_concepts_primary_layer_outputs_83.npy
2r2r2/6k1/pn4pp/2q2p2/4n3/2p2N1P/B1P3PK/1RQR4 b - - 3 31,1,0,0,1,0,1,0,0,1,0,c8e8,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish/stockfish_boolean_concepts_primary_layer_outputs_84.npy
rN3b1r/p3kpp1/Bq2pn1p/3P4/3P2b1/Q3P3/PP3PPP/2R1K2R b K - 10 17,1,0,1,1,0,0,0,0,0,0,b6d6,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish/stockfish_boolean_concepts_primary_layer_outputs_85.npy
2r5/p4pkp/4p1p1/3bN1Pn/1q1P1P2/8/5Q1P/3B1RK1 b - - 3 33,1,1,0,1,0,1,0,1,0,0,b4c3,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish/stockfish_boolean_concepts_primary_layer_outputs_86.npy
1r3rk1/1q3pp1/4p1p1/2P1N3/3Pp3/3Q2PP/1pR3R1/1K6 w - - 0 34,1,0,0,1,0,1,0,0,0,0,d3c4,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish/stockfish_boolean_concepts_primary_layer_outputs_87.npy
3q1rk1/3npp1p/3p2P1/2p2P2/1p6/1P1PQRNP/2r5/3R2K1 b - - 0 27,1,0,0,1,0,0,0,0,0,0,f7g6,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish/stockfish_boolean_concepts_primary_layer_outputs_88.npy
r7/pQ2p1kp/5bp1/2p2qN1/2n2B2/8/PP4PP/4R2K b - - 0 23,1,0,0,1,0,1,0,0,1,0,f6g5,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish/stockfish_boolean_concepts_primary_layer_outputs_89.npy
1r1N2k1/2p4p/5pp1/3Pp3/pq6/2n1Q2P/P2R1PP1/K6R w - - 0 29,1,0,0,1,0,0,0,0,0,0,e3d3,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish/stockfish_boolean_concepts_primary_layer_outputs_90.npy
2r1R1k1/1pq3r1/p6p/2p2Q2/2Pp1b1N/6P1/PP1N3P/4R1K1 b - - 0 26,1,0,0,1,0,1,0,0,1,0,c8e8,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish/stockfish_boolean_concepts_primary_layer_outputs_91.npy
