FEN,white_knight_reachable_outpost,black_bishop_minor_behind_pawn,white_rook_trapped,black_queen_present,white_king_pawnless_flank,black_passed_pawns,white_knight_outpost,black_bishop_outpost,white_rook_on_file,black_queen_weak,Move,Layer Outputs Index,Layer Outputs File
1r3rk1/p1q3p1/3bp2p/1p1p1p2/3Pn3/PNP1B2P/1P2QPP1/R1R3K1 w - - 2 20,1,1,0,1,0,0,0,0,0,1,b3c5,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_10.npy
4r2k/ppp3p1/1bnp3p/8/1P1Pq2N/Q1P1B1Pb/P4P1P/R3R1K1 w - - 5 25,1,0,0,1,0,0,0,1,1,1,e3d2,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_11.npy
6k1/3n1p1p/6p1/2p1q3/1b6/1PN3PP/PB3P1K/5Q2 w - - 0 31,1,0,0,1,0,0,0,0,0,1,f1d3,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_12.npy
3q1rk1/5pbp/r4np1/p1pPpbB1/2P5/P1NQ4/4BPPP/1R3RK1 w - - 4 20,1,0,0,1,0,0,0,0,0,1,d3e3,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_13.npy
2b1r1k1/p2npp1p/1r1P1bp1/qp6/2p1N3/2P2Q2/PBP2PPP/R3R1K1 b - - 0 19,1,0,0,1,0,0,0,0,1,1,c8b7,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_14.npy
1qb1kn2/5p2/4p3/r3P1QP/2n2P2/1PN3P1/P1P5/1K1R4 b - - 2 27,1,0,0,1,0,0,0,0,1,0,c8b7,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_15.npy
r4rk1/pb4bp/1pNqpnp1/2p3N1/2P2P2/3B4/PP4PP/R1B1QRK1 b - - 0 16,1,1,0,1,0,0,0,0,0,0,d6c6,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_16.npy
8/2K2n2/3Pp1p1/6k1/1P6/8/5N1p/8 b - - 0 51,1,0,0,0,0,1,0,0,0,0,e6e5,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_17.npy
r1bq2k1/pp4b1/3p2n1/2p3N1/3nBr2/2NP2Q1/PPP5/R2K3R w - - 0 18,1,0,0,1,0,0,0,0,1,0,e4d5,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_18.npy
1Q3N2/1p4r1/p1r1pq1k/1b1p3p/3P3P/4PP2/PPP5/2KR3R w - - 5 28,1,0,0,1,0,0,0,0,0,0,h1g1,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_19.npy
3b2k1/3q1p2/2n1bp1p/1p2p3/1P2P3/P4NP1/1B1Q1PBP/6K1 w - - 2 34,1,1,0,1,0,0,0,0,0,0,d2d7,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_20.npy
1k5r/p2q4/Qbpp4/1p6/1NP1P2p/1P4p1/5PPP/R4R1K w - - 0 32,1,1,0,1,0,0,0,0,0,0,h2h3,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_21.npy
1r3r2/5pkp/4b1p1/p2N4/P5N1/1P5P/Bq4P1/1R1Q3K b - - 1 25,1,0,0,1,0,0,0,0,0,0,e6g4,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_22.npy
r5r1/1q3pbk/2p1p2p/4Np1Q/p1p1nB2/4P2P/PP3PP1/1R1R2K1 b - - 1 23,1,0,0,1,0,0,0,0,1,1,e4f6,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_23.npy
r2q1rk1/5pp1/p1Q1b2p/1n2P3/1PpP4/B7/P1BN2PP/R4R1K w - - 1 22,1,1,0,1,0,1,0,0,1,0,c6e4,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_24.npy
r4rk1/p4p2/bp1p1PRp/2p4Q/4P3/2N5/PPPq2PP/5R1K b - - 0 23,1,0,0,1,0,0,0,0,0,0,g8h7,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_25.npy
r4rk1/pp1b1ppp/1qn5/8/3b1B2/2NB3P/PPQ2PP1/R3R1K1 b - - 5 15,1,0,0,1,0,0,0,1,1,0,c6b4,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_26.npy
8/3r4/R1RPk3/8/6p1/1P2Np2/4nP1K/8 w - - 0 46,1,0,0,0,0,0,0,0,1,0,c6c7,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_27.npy
rn1qkb1r/p3pppp/1p3N2/1b2N3/8/1Q2P3/PP1P1PPP/R1B1K2R b KQkq - 0 10,1,0,1,1,0,0,0,0,0,0,e7f6,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_28.npy
4rk2/4Nppp/1p5q/6n1/3Q4/4P3/PP3Pb1/2R2RK1 w - - 0 27,1,0,0,1,0,1,0,0,0,0,f2f4,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_29.npy
1n3Nk1/2p3p1/1p6/3PP3/2P1Q2p/4P1pP/1P2q1K1/r1B2R2 w - - 1 32,1,0,0,1,0,1,0,0,1,0,g2g1,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_30.npy
k7/p7/Pqp5/1p2Q3/1P2P3/2n2B1N/7P/3n1Kr1 w - - 10 40,1,0,0,1,0,0,0,0,0,0,h3g1,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_31.npy
6k1/1r3qb1/3Q2R1/2pPp3/2n1P3/P1N1B3/5P2/2K5 w - - 0 33,1,0,0,1,0,1,0,0,1,0,d6e6,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_32.npy
b4rk1/p3n1p1/4p3/4Pp1Q/8/P1nq1N2/5PPP/1RB2RK1 w - - 0 27,1,1,0,1,0,0,0,0,0,0,b1b2,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_33.npy
r4rk1/2pqbpp1/2p2n1p/3p1N2/2Q1P3/2N1B2P/PPP2PP1/1R4K1 w - - 0 19,1,0,0,1,0,0,0,0,0,0,c4c6,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_34.npy
r1b2rk1/p5pp/3bpq2/3pN3/2pP4/P1N4P/1PP2nP1/1RBQ1RK1 b - - 1 15,1,1,0,1,0,0,0,0,1,1,f2d1,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_35.npy
5k1r/p1q3n1/4pQ2/2rp3P/5N2/8/PPP2P2/2K4R b - - 0 25,1,0,0,1,0,0,0,0,0,0,f8e8,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_36.npy
4rr1k/1p2ppbn/p2p4/3PqN2/2P2RQP/1P6/P5PK/4R3 b - - 14 27,1,0,0,1,0,0,0,0,1,0,e5c3,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_37.npy
6k1/2p2pp1/p5r1/1p5p/4N1bP/8/PPPR2P1/6K1 b - - 3 27,1,0,0,0,0,0,0,1,1,0,g6c6,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_38.npy
5k2/pQ4pp/5p2/2r2N2/7P/1B4K1/PP1p2P1/4q3 w - - 3 39,1,0,0,1,0,1,0,0,0,0,g3h2,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_39.npy
b2r2k1/P1Nq1pbp/4p1p1/Q7/2p5/4P2P/5PP1/1R4K1 b - - 0 30,1,1,0,1,0,1,0,0,1,0,c4c3,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_40.npy
kn1Q4/pp6/2p5/3n4/1P1q4/P2N2P1/2PP1P2/2K5 w - - 1 35,1,0,0,1,0,0,0,0,0,0,d3b2,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_41.npy
r7/2p2rk1/3b1ppp/p1p1pn2/P3N1RP/1P1P1P2/2PB4/1K5R b - - 9 30,1,0,0,0,0,0,0,0,0,0,h6h5,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_42.npy
6k1/p4p2/1p5Q/2p5/P1N1q3/3n2P1/1P3P1P/6K1 w - - 1 28,1,0,0,1,0,0,0,0,0,0,c4e3,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_43.npy
r2q1bkr/2p3p1/p4N1p/np2p1Nb/4P3/5P2/PPP3PP/R1BQK2R b KQ - 0 14,1,0,1,1,0,0,0,0,0,0,g7f6,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_44.npy
6rk/ppR2p1p/4p3/1P1p4/7n/P4N2/3PPPrP/2R2K2 w - - 2 28,1,0,0,0,0,0,0,0,1,0,c1c2,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_45.npy
rn3k2/5pbp/3p2p1/3P4/1Pbp4/1Np5/B1P2PPP/R3R1K1 b - - 2 24,1,0,0,0,0,0,0,1,1,0,d4d3,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_46.npy
1r4k1/Q4pbp/2p1b1p1/p3N3/P3PPn1/qB4R1/2P4P/1K5R b - - 2 24,1,0,0,1,0,0,0,0,0,1,g7e5,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_47.npy
r7/pQ2p1kp/5bp1/2p2qN1/2n2B2/8/PP4PP/4R2K b - - 0 23,1,0,0,1,0,1,0,0,1,0,f6g5,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_48.npy
1k4nr/ppr2qbp/4p1p1/1QNp2P1/2nP4/2R1PN2/PP3PP1/1K5R b - - 2 28,1,1,0,1,0,0,0,0,1,0,b8a8,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_49.npy
4nr1k/3bNppp/3p4/2p2P1Q/4PR2/1q4rP/1PR3BK/4b3 b - - 2 29,1,0,0,1,0,0,0,0,1,0,b3c2,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_50.npy
4N3/3n4/1p4pp/3Pkp2/2P5/1r4PP/5P2/5BK1 b - - 2 35,1,0,0,0,0,0,0,0,0,0,g6g5,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_51.npy
r1bq2k1/pp2r1bp/1n1p4/2pP1PN1/8/3QB2P/PP2N3/1R3RK1 b - - 0 23,1,0,0,1,0,0,0,0,0,0,c5c4,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_52.npy
r1b4R/pp3Rb1/1n1k4/3p4/8/2P5/PP2N1P1/1K6 w - - 2 29,1,0,0,0,0,0,0,0,1,0,h8d8,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_53.npy
r1bq1rnk/1p5p/p3pbp1/3p2N1/3P2P1/3BB3/PPP4P/R2Q1RK1 w - - 0 16,1,0,0,1,0,0,0,0,1,0,g5h7,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_54.npy
6k1/p2n2pp/3B1p2/2bp1N2/8/3n1PP1/5qBP/3Q3K b - - 3 26,1,0,0,1,0,1,0,1,0,0,f2e1,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_55.npy
3r1rk1/p3qp1p/1p2b1p1/2pn4/P1PQN3/6PP/1P3PBK/3R1R2 w - - 0 21,1,0,0,1,0,0,0,0,0,0,d4d3,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_56.npy
8/2N3p1/4p3/p1b5/5kP1/1P1K4/P7/8 b - - 2 39,1,0,0,0,0,1,0,0,0,0,f4e5,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_57.npy
5qk1/3b4/4p3/ppbpPnpP/2pN4/P1P1P1BQ/1PB4P/7K w - - 1 27,1,1,0,1,0,0,0,0,0,0,c2f5,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_58.npy
2r3k1/1r3pnp/4p1PQ/p2pP3/3N2P1/2P1R3/P1R2PK1/3q4 b - - 0 32,1,0,0,1,0,0,0,0,0,0,f7g6,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_59.npy
r2qkb1r/ppp3pp/2n5/7b/2B1p1P1/P3PN1P/2PB1P2/R2QK2R b KQkq - 0 13,1,0,1,1,0,0,0,0,0,0,h5g6,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_60.npy
r5r1/p3R1p1/5pk1/3R4/2p3P1/3n1N2/PP3P2/1K6 b - - 12 34,1,0,0,0,0,0,0,0,1,0,g8h8,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_61.npy
1r2qrk1/2R2ppp/5nn1/pN3N2/P7/4P1QP/6P1/5RK1 b - - 14 35,1,0,0,1,0,0,0,0,1,0,f6e4,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_62.npy
r5k1/2p2pp1/5n1p/P2Pq3/2Q5/2N1rP1P/3R2P1/R5K1 w - - 3 26,1,0,0,1,0,0,0,0,0,0,d2d3,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_63.npy
3r2k1/1p3pp1/p4n1p/2b1qP2/4p3/1PN4P/1PP2QP1/4RR1K w - - 2 23,1,0,0,1,0,1,0,0,0,1,f2f4,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_64.npy
r5r1/p1b4k/7p/2p5/6b1/P1B1pNP1/1P2P1K1/R4R2 w - - 4 29,1,0,0,0,0,0,0,1,1,0,f3e5,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_65.npy
r5k1/4p2p/4p1p1/2N5/8/1rn2N2/P4PPP/R5K1 b - - 1 25,1,0,0,0,0,0,0,0,0,0,b3b5,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_66.npy
4r1k1/pQ3ppp/8/2p5/3p1N2/3P2PP/PPPq2K1/R7 w - - 3 26,1,0,0,1,0,0,0,0,0,0,g2g1,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_67.npy
3r3k/6pp/8/8/1R3P2/p5P1/1n2NKBP/8 w - - 1 39,1,0,0,0,0,1,0,0,1,0,b4b3,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_68.npy
8/p2k4/6p1/1NPp1bP1/8/P3K3/8/8 b - - 0 37,1,0,0,0,0,1,0,1,0,0,a7a6,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_69.npy
r1bq1rk1/pp2n1pp/3p2n1/4Pp2/5P2/2NB2Q1/PPP3PP/2KR3R b - - 0 15,1,0,0,1,0,0,0,0,0,0,d6d5,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_70.npy
2kr3r/1p1q3p/p1b1p1pQ/2p1Pp2/2Np4/1P2P1P1/P1P2P1P/R2R2K1 b - - 1 17,1,1,0,1,0,0,0,0,1,1,c8b8,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_71.npy
r3r1k1/1ppq1p2/3p3p/p1nPb2N/2PNpp2/1P3R1P/P4PP1/3QR1K1 b - - 3 23,1,1,0,1,0,0,0,0,1,0,d7e7,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_72.npy
3Qnk2/p4ppp/1pb5/8/4q3/5NP1/PP3P1P/4R1K1 b - - 4 29,1,0,0,1,0,0,0,0,1,0,e4b4,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_73.npy
r4rk1/p1p2p1p/2pp1p2/2b5/3NP3/2N4q/PPP2P1P/R2Q1RK1 w - - 0 14,1,0,0,1,0,0,0,0,0,0,d1f3,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_74.npy
4r1k1/ppp3pp/3p2b1/3P2q1/2PN4/1P3RbP/PBP3P1/1R3K2 b - - 4 30,1,0,0,1,0,0,0,1,0,0,g6e4,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_75.npy
r2r2k1/1p3pp1/p2qbn1p/4Q3/3Pp3/2N5/PPP1B1PP/R3R1K1 w - - 0 22,1,0,0,1,0,1,0,0,1,0,a1d1,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_76.npy
8/1N4p1/2P1k2p/3p4/1P6/5K2/1r4PP/8 b - - 0 37,1,0,0,0,0,1,0,0,0,0,b2b3,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_77.npy
r3kb1r/1bp1q3/pp6/3nPQBp/3P2p1/8/PPPN1R1P/2KR4 b kq - 2 21,1,1,0,1,0,0,0,0,0,0,e7h7,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_78.npy
r4rk1/pbp1b1pp/4pp2/1p1q4/1P1P4/P2NP3/4QPPP/R1B2RK1 w - - 2 16,1,1,0,1,0,0,0,0,0,0,f2f3,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_79.npy
3r2k1/1p1r1ppp/p1q5/Q2p4/1R1Rn3/P1N1P3/1P3PPP/6K1 w - - 8 23,1,0,0,1,0,0,0,0,1,0,b4b6,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_80.npy
5r1k/5p1p/pq2p1p1/1p1rP2N/3P1Q2/b7/6PP/3R1RK1 b - - 1 25,1,0,0,1,0,1,0,1,1,0,f7f5,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_81.npy
Q7/5pbk/4q1pp/1p6/8/P1r2N1P/5PP1/1R4K1 w - - 5 35,1,1,0,1,0,0,0,0,1,0,a8b7,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_82.npy
2kr3r/ppp3p1/5b1p/3Q4/6q1/2N5/PPP2PPP/3RR1K1 w - - 1 16,1,0,0,1,0,0,0,0,1,0,d5a5,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_83.npy
5qk1/8/3p2pp/p1n3N1/1pPQ4/1P5P/P5P1/7K w - - 0 39,1,0,0,1,0,0,0,0,0,0,g5f3,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_84.npy
2k1r1r1/1p6/p1p2b2/8/N1pn1B2/8/PP3PPP/1R2R1K1 w - - 4 25,1,0,0,0,0,0,0,0,1,0,e1e8,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_85.npy
4r1k1/7p/1P1R4/4PpN1/2p5/6PK/p2r3P/B7 b - - 1 46,1,0,0,0,0,1,0,0,1,0,d2d6,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_86.npy
3r1r1k/p1pnq1pp/2p5/1p3bP1/N2P1P2/PQ2B2P/1P2B3/R3K2R w KQ - 0 19,1,1,1,1,0,0,0,1,0,0,a4c5,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_87.npy
