,Position,Undermining,Open,Knight Outposts,Square Vacancy,Bishop vs Knight,Re-Capturing,Offer of Simplification,Advancement of f/g/h Pawns,Advancement of a/b/c Pawns,Simplification,Activity of the King,Center Control,Pawn Play in the Center,Queens and Rooks to the 7th Rank,Avoid Pointless Exchange
"""Undermine.034""",2r2bk1/pq3r1p/6p1/2ppP1P1/P7/BP1Q4/2R3P1/3R3K b - -,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Undermine.035""",2r2rk1/1bb2ppp/p2ppn2/1p4q1/1PnNP3/P1N4P/2P1QPPB/3RRBK1 w - -,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Undermine.036""",2r2rk1/3q3p/p3pbp1/1p1pp3/4P3/2P5/PPN1QPPP/3R1RK1 b - -,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Undermine.037""",2r4k/pp3q1b/5PpQ/3p4/3Bp3/1P6/P5RP/6K1 w - -,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Undermine.038""",2r3k1/1b2b2p/r2p1pp1/pN1Pn3/1pPB2P1/1P5P/P3R1B1/5RK1 w - -,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Undermine.039""",2r3k1/5pp1/1pq4p/p7/P1nR4/2P2P2/Q5PP/4B1K1 b - -,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Undermine.040""",6k1/6pp/4r3/p1qpp3/Pp6/1n1P1B1P/1B2Q1P1/3R1K2 w - -,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Undermine.041""",r2qkb1r/1b1n1ppp/p3pn2/1pp5/3PP3/2NB1N2/PP3PPP/R1BQ1RK1 w kq -,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Undermine.42""",r3r1k1/pn1bnpp1/1p2p2p/1q1pPP2/1BpP3N/2P2BP1/2P3QP/R4RK1 w - -,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Undermine.043""",2r5/p3kpp1/1pn1p2p/8/1PP2P2/PB1R1KP1/7P/8 b - -,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Undermine.044""",2rq1rk1/1b2bppp/p2p1n2/1p1Pp3/1Pn1P3/5N1P/P1B2PP1/RNBQR1K1 w - -,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Undermine.045""",2rqr1k1/1b2bp1p/ppn1p1pB/3n4/3P3P/P1NQ1N2/1PB2PP1/3RR1K1 w - -,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Undermine.046""",3Rb3/5ppk/2r1r3/p5Pp/1pN2P1P/1P5q/P4Q2/K2R4 b - -,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Undermine.047""",3Rbrk1/4Q2p/6q1/pp3p2/4p2P/1P4P1/8/5R1K w - -,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Undermine.048""",3bn3/3r1p1k/3Pp1p1/1q6/Np2BP1P/3R2PK/8/3Q4 w - -,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Undermine.049""",3k1r1r/p2n1p1p/q2p2pQ/1p2P3/2pP4/P4N2/5PPP/2R1R1K1 w - -,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Undermine.050""",3r1bk1/1p2qp1p/p5p1/P1pPp3/2QnP3/3BB3/1P3PPP/2R3K1 w - -,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Undermine.051""",3r1bkr/2q3pp/1p1Npp2/pPn1P3/5B2/1P6/2P2PPP/R2QR1K1 w - -,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Undermine.052""",3r2k1/p2q1pp1/1p2n1p1/2p1P2n/P4P2/2B1Q1P1/7P/1R3BK1 w - -,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Undermine.053""",3r4/8/pq3kr1/3Bp3/7p/1P3P2/P5PP/3RQ2K b - -,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Undermine.054""",3r4/pk1p3p/1p2pp2/1N6/2P1KP2/6P1/3R3P/8 w - -,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Undermine.055""",4k2r/1b2b3/p3pp1p/1p1p4/3BnpP1/P1P4R/1KP4P/5BR1 w k -,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Undermine.056""",4k3/r2bbprp/3p1p1N/2qBpP2/ppP1P1P1/1P1R3P/P7/1KR1Q3 w - -,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Undermine.057""",4q1k1/pb5p/Nbp1p1r1/3r1p2/PP1Pp1pP/4P1P1/1BR1QP2/2R3K1 w - -,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Undermine.058""",4r1k1/1pb3qp/p1b1r1p1/P1Pp4/3P1p2/2BB4/1R1Q1PPP/1R4K1 b - -,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Undermine.059""",4r1k1/5p1p/p2q2p1/3p4/3Qn3/2P1RN2/Pr3PPP/R5K1 w - -,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Undermine.060""",4rr1k/pp1n2bp/7n/1Pp1pp1q/2Pp3N/1N1P1PP1/P5QP/2B1RR1K b - -,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Undermine.061""",4rrk1/p6p/2q2pp1/1p6/2pP1BQP/5N2/P4PP1/2R3K1 w - -,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Undermine.062""",5nk1/1bp1rnp1/pp1p4/4p1P1/2PPP3/NBP5/P2B4/4R1K1 w - -,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Undermine.063""",5r2/1p1k4/2bp4/r3pp1p/PRP4P/2P2PP1/2B2K2/7R b - -,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Undermine.064""",5r2/5p1Q/4pkp1/p7/1pb2q1P/5P2/P4RP1/3R2K1 w - -,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Undermine.065""",5rk1/1Q3pp1/p2p3p/4p1b1/N3PqP1/1N1K4/PP6/3R4 b - -,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Undermine.066""",7r/3nkpp1/4p3/p1pbP3/1r3P1p/1P2B2P/P2RBKP1/7R b - -,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Undermine.067""",8/1r1rq2k/2p3p1/3b1p1p/4p2P/1N1nP1P1/2Q2PK1/RR3B2 b - -,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Undermine.068""",8/1r2k3/4p2p/R3K2P/1p1P1P2/1P6/8/8 w - -,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Undermine.069""",8/3r1pp1/p7/2k2PpP/rp1pB3/2pK1P2/P1R5/1R6 w - -,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Undermine.070""",8/6k1/3P1bp1/2B1p3/1P6/1Q3P1q/7r/1K2R3 b - -,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Undermine.071""",b2rrbk1/2q2p1p/pn1p2p1/1p4P1/2nNPB1P/P1N3Q1/1PP3B1/1K1RR3 w - -,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Undermine.072""",b7/2pr1kp1/1p3p2/p2p3p/P1nP1N2/4P1P1/P1R2P1P/2R3K1 w - -,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Undermine.073""",k1qbr1n1/1p4p1/p1p1p1Np/2P2p1P/3P4/R7/PP2Q1P1/1K1R4 w - -,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Undermine.074""",r1b1rnk1/pp3pq1/2p3p1/6P1/2B2P1R/2P5/PP1Q2P1/2K4R w - -,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Undermine.075""",r1bq1rk1/pp3pbp/3Pp1p1/2p5/4PP2/2P5/P2QB1PP/1RB1K2R b K -,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Undermine.076""",r1bqr2k/pppn2bp/4n3/2P1p1p1/1P2Pp2/5NPB/PBQN1P1P/R4RK1 w - -,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Undermine.077""",r1br1k2/1pq2pb1/1np1p1pp/2N1N3/p2P1P1P/P3P1R1/1PQ3P1/1BR3K1 w - -,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Undermine.078""",r1n2k1r/5pp1/2R5/pB2pPq1/P2pP3/6Pp/1P2Q2P/5RK1 w - -,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Undermine.079""",r1r2bk1/pp1n1p1p/2pqb1p1/3p4/1P1P4/1QN1PN2/P3BPPP/2RR2K1 w - -,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Undermine.080""",r2q1r2/pp1b2kp/2n1p1p1/3p4/3P1P1P/2PB1N2/6P1/R3QRK1 w - -,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Undermine.081""",r2q1rk1/pp2b1pp/1np1b3/4pp2/1P6/P1NP1BP1/2Q1PP1P/1RB2RK1 w - -,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Undermine.082""",r2q4/6k1/r1p3p1/np1p1p2/3P4/4P1P1/R2QBPK1/7R w - -,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Undermine.083""",r2qr1k1/pp3pbp/5np1/2p2b2/8/2PP1Q2/PPB3PP/RNB2RK1 b - -,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Undermine.084""",r3k2r/1bq1bpp1/p4n2/2p1pP2/2NpP2p/3B4/PPP3PP/R1B1QR1K b k -,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Undermine.085""",r3k2r/2q2p2/p2bpPpp/1b1p4/1p1B1PPP/8/PPPQ4/1K1R1B1R w kq -,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Undermine.086""",r3k2r/ppq2p1p/2n1p1p1/3pP3/5PP1/2P1Q3/PP2N2P/3R1RK1 b k -,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Undermine.087""",r3r1k1/1pp1np1p/1b1p1p2/pP2p3/2PP2b1/P3PN2/1B3PPP/R3KB1R w KQ -,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Undermine.088""",r3r1k1/1pq2pbp/p1ppbnp1/4n3/2P1PB2/1NN2P2/PP1Q2PP/R3RBK1 w - -,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Undermine.089""",r3r1k1/bpp1np1p/3p1p2/pPP1p3/3P2b1/P3PN2/1B3PPP/R3KB1R w KQ -,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Undermine.090""",r3r1k1/pp2q3/2b1pp2/6pN/Pn1P4/6R1/1P3PP1/3QRBK1 w - -,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Undermine.091""",r4r2/1p2pbk1/1np1qppp/p7/3PP2P/P1Q2NP1/1P3PB1/2R1R1K1 w - -,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Undermine.092""",r4r2/2p2kb1/1p1p2p1/qPnPp2n/2B1PP2/pP6/P1Q1N2R/1KB4R w - -,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Undermine.093""",r4rk1/2p5/p2p1n2/1p1P3p/2P1p1pP/1P4B1/1P3PP1/3RR1K1 w - -,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Undermine.094""",r4rk1/2qnb1pp/4p3/ppPb1p2/3Pp3/1PB3P1/R1QNPPBP/R5K1 b - -,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Undermine.095""",r4rk1/p5pp/1p2b3/2Pn1p2/P2Pp2P/4P1Pq/2Q1BP2/R1BR2K1 w - -,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Undermine.096""",r4rk1/pbq2p2/2p2np1/1p2b2p/4P3/2N1BPP1/PPQ1B2P/R2R2K1 b - -,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Undermine.097""",r4rk1/pp1b2b1/n2p1nq1/2pP1p1p/2P1pP2/PP4PP/1BQ1N1B1/R3RNK1 b - -,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Undermine.098""",rn3rk1/p1p1qp2/1pbppn1p/6p1/P1PP4/2PBP1B1/3N1P1P/R2QK1R1 w Q -,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Undermine.099""",rnbq1rk1/2p1p1bp/p3pnp1/1p6/3P4/1QN1BN2/PP3PPP/R3KB1R w KQ -,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Undermine.100""",rr3n1k/q3bpn1/2p1p1p1/2PpP2p/pP1P1N1P/2BB1NP1/P2Q1P2/6RK w - -,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Ba7=10, Qf6+=3, a5=3, h5=5""",1b1r4/3rkp2/p3p2p/4q3/P5P1/2RBP3/P1Q4P/1R3K2 b - -,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Re7=10, Ra2=5, Rg7=2""",1bq3rk/R6p/5n1P/1N1p4/1PnP2p1/6P1/5B2/2Q2BK1 w - -,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Rad1=10, Qf6=7, Rfd1=7, a4=2""",1k1r3r/1p1b1Q1p/p7/q3p3/4p3/2P1N3/P4PPP/R4RK1 w - -,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Qa6=10, Bc8=5, Qd7=7""",1Q6/1b4pk/2q2b1p/1p1ppP2/1Pp5/2P2P1P/2BB2P1/6K1 b - -,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Bb5=10, Qe1=2, Qe3=2""",1qrr3k/1p2bp1p/1n2p1pP/p2pP3/P4B2/1PPB2P1/2R1QP2/3R2K1 w - -,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Bf1=10, Qb2=7, Qc3=7, Qd2=6""",1r1n1rk1/3qp2p/P2p2p1/1p6/5pP1/1p3P1P/5PB1/R1QR2K1 w - -,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Rac2=10, Kg2=5, Qa4=4""",1r1n2k1/5r1p/P2qp1p1/3p4/1p3pP1/1Q3P1P/R4P2/2R2BK1 w - -,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Be3=10, Nd6=5, Rd1=7, h3=6""",1r1q1nk1/p3bpp1/b1p1p2p/4P3/1P2NB2/P4N2/5PPP/2Q1R1K1 w - -,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Qc1=10, Qa2=5, Qe3=6""",1r1q4/5p2/2p4k/1n2p1pP/4P3/P4BR1/3Q1PKP/8 w - -,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Rg8=10, Bc6=1, Bd7=4""",1r1qbr1k/4bp1p/p3p2Q/3pP3/2pP4/P1N1PN2/1PR2RP1/6K1 b - -,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Rh6=10, Kf1=6, Rf6+=6""",1r3k2/8/R7/4pPP1/P1p5/1nP5/R5P1/3rB1K1 w - -,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Rfe8=10, Rfc8=7, Rfd8=8""",1r3rk1/2b3pp/p4p2/2p5/P1Np4/1P1R2P1/1P3P1P/2R3K1 b - -,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Qf1=10, Qg2+=2, Qh2+=2""",1r5k/p7/3pQ1p1/1Np5/2P3P1/7P/1PK5/7q b - -,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Bg4=10, Bd1=6, a5=8""",1r6/4q3/2p2p1k/4p1pP/P2nP2P/5BR1/5PK1/2Q5 w - -,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Ra1=10, Kg1=7, Kh2=8""",1r6/7k/1p4r1/1P2p3/2P1p2P/2RbB3/6P1/2R4K w - -,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Rf6=10, Rf8=8, Rg6=6""",1r6/8/1r5p/p2pk3/4p3/2P4P/RP2B1n1/1RK5 b - -,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Be4=10, Bf3=4, Qd3=5""",1rbr2k1/pp3pp1/q6p/4P3/3p1P2/6P1/P2QP1BP/R1R3K1 w - -,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Rfd1=10""",2b1r1k1/2r5/p3pbp1/5p2/PN5P/1Pp2BP1/4PP2/2R2RK1 w - -,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Re2=10, Qxg7=4, Rb2=4""",2r1k3/p5pp/1p2p3/7P/P2B2Q1/1bP5/R4PPK/4q3 w - -,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Bh3=10, Bf1=7, e5=8""",2r1q1k1/2p2rbp/p2p2p1/Q2P4/b3P3/3p2P1/3B1PBP/2R1R1K1 w - -,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Qg6=10, Ne5=4, Qe5=2""",2r1q2k/7p/p1np1P1P/8/1pP2R2/8/PP1Q4/R1KN2r1 b - -,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Qh4=10, Rc1=6, Rc2=9, Rc4=6""",2r1q3/p1p1nk1p/4p2p/2R1Pp2/1P1Q4/P3N1P1/5P2/6K1 w - -,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Bg2=10, e4=6""",2r2k2/R4bpp/2p2p2/1pN5/1n3PP1/1P2P2P/8/5BK1 w - -,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Bh3=10, Bd2=5, Re1=6""",2r2rk1/1p1nbppp/p2p4/B2Pp1PP/5P2/1P6/P1P5/1K1R1B1R w - -,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Rfd8=10, Bxe3=5, Kh8=3""",2r2rk1/4q1pp/p7/1pb1Pp2/5P2/1P1QB3/b3N1PP/2R1K2R b K -,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Rc1=10, Bg4=7, f3=7, f4=5""",2r3k1/1b1n1npp/1pq2p2/8/1P1QP3/6P1/1B1NBP1P/3R2K1 w - -,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Qd2=10, Ne3=9, Nf6=5""",2r3n1/p1p3kp/1q2p2p/4Pp2/1P4N1/P5P1/1Q3P2/2R3K1 w - -,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Bg7f8=10, Bg7f6=8, Qd8d6=7""",2rq2k1/1p3pb1/1n4pp/pP2p3/P1b1P3/2N4P/2B1NPP1/R1Q3K1 b - -,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Rb7=10, Ra7=4, Rd7=3""",2rq2k1/4rpp1/p3p3/P2n2pP/2pPR3/2P3B1/2Q2PP1/R5K1 b - -,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Bd6=10, Bc5=7, Bg7=5""",2rr1b2/3q3k/p4n1p/1p1p2p1/2nNp3/P1N2PQ1/1PP3PP/R1BR2K1 b - -,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Be3=10, Bf4=7, Re2=7""",3b2k1/1p1b4/4p2B/1n1p1p2/pN6/P2P4/1PR3PP/7K w - -,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Bh3=10, Rc1=8, Rc2=7""",3q2k1/5rpp/r1pPp3/1bQn4/p2B4/4P1P1/1P1R2BP/R5K1 w - -,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Bf4=10, Ra3=3, Rd3=4""",3Q4/5pk1/4p1p1/3pb2p/P3q2P/1r4P1/2R2P1K/2R5 b - -,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Rg1=10, Qe3=7, Qg2=5""",3q4/7k/3ppp2/p3n2B/P1r1P2P/8/1PPQ4/1K3R2 w - -,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Be4=10, Bf3=2, g5=3""",3r1k2/R4bpp/2p2p2/1pN5/1n3PP1/1P2P2P/6B1/6K1 w - -,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Ba4=10, Rdf1=6, Rhf1=7""",3r1r2/p5k1/1pnpP2p/6p1/2P3P1/4P3/P1B1K1P1/3R3R w - -,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Bb1=10""",3r2k1/4q1pp/p7/1p2Pp2/5P2/1P2Q3/b5PP/2N1K2R b K -,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Ba3=10, Qd1=4, Qf5=4""",3r2k1/pp1q1ppp/4rnn1/3p4/P1pP4/2P1P2P/1BQN1PP1/RR4K1 w - -,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Re8=10, Rf8=4""",3r2k1/R7/1p3np1/1P1b4/1p6/5PqP/2Q3P1/3R2K1 b - -,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Rc7=10""",3r3k/1p2R2p/pP4p1/8/2rp1p2/5P2/2P3PP/4R1K1 w - -,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
